,Mumbai,Delhi,Bengaluru,Hyderabad,Ahmedabad,Chennai,Kolkata,Pune,Jaipur,Surat,Lucknow,Kanpur,Nagpur,Visakhapatnam,Bhopal,Patna,Ludhiana,Agra,Nashik,Faridabad,Meerut,Rajkot,Varanasi,Srinagar,Aurangabad,Dhanbad,Amritsar,Navi Mumbai,Allahabad,Ranchi,Howrah,Coimbatore,Jabalpur,Gwalior,Vijayawada,Jodhpur,Madurai,Raipur,Kota,Guwahati,Chandigarh,Solapur,Hubli,Mysore,Tiruchirappalli,Bareilly,Aligarh,Moradabad,Gurgaon,Jalandhar,Latitude,Longitude
Nashik,139.88821377418643,1021.1168264765859,877.103686776111,573.6044962438395,357.93336390352596,1031.197827516018,1538.3074072878264,163.65910418583272,792.5136692529612,163.84669722894168,1053.2014872723216,978.8746554675347,566.8359610740841,1025.8870183349575,520.6713728968687,1318.853655528993,1225.588181035008,904.0015108327499,0.0,998.0422214402956,1071.4542243935348,401.8459036904051,1112.138030981698,1564.0252186684804,163.18679366253932,1371.5863654014395,1293.7144356947572,133.28395801386392,1023.1358369313375,1248.0407202076951,1528.4547545740375,1050.0789538344766,732.0236288712006,822.6925708053847,821.6332192333574,695.6394213523093,1207.6396152967116,828.7359728612264,615.7483976768734,1958.534758806827,1226.608401349667,341.62792354582155,531.9091170467792,905.0422935830456,1146.989466413502,1089.4355507757748,978.0217149684895,1101.6448484272296,993.1021601136334,1267.7105555385913,19.9975,73.7898
Faridabad,1128.129419566111,38.91287970692878,1709.4294313550897,1226.690240889941,763.3302475775893,1724.3044428476264,1284.146837599339,1150.635106931175,224.28232841576474,921.0421119502362,397.7319516561888,368.67095621362756,824.17614755625,1331.9267600599453,570.515836808442,836.2207200688673,310.3184602384857,152.5543061140879,998.0422214402956,0.0,74.24121639458062,941.6736204921832,658.0719010227301,673.3671458956229,966.106525323922,1044.516434460774,428.2931737083114,1126.4349969678367,557.427695702048,977.4790271554325,1274.070982177044,1925.802812571939,637.9037126865973,257.3904153091865,1361.7001300727172,488.181894051129,2047.8934769424156,904.5264715577787,382.3452211218739,1448.512446639556,262.87625869105415,1199.1352491594798,1461.986418865454,1785.342884957537,1955.8251674716041,207.09972377044386,94.53153001382879,150.0873375123489,29.073295554068736,364.5031148846094,28.4089,77.3178
Meerut,1201.9771955195438,66.62356219851009,1773.0202242090468,1287.104282096723,836.7404000773047,1780.5683265937964,1282.455320798049,1223.3352777660123,297.3002522126754,995.2829220536034,397.2501983844007,381.976506437536,879.424525715978,1371.7541534196557,634.9102992613862,825.7899691981737,277.47924725813124,202.52422232931005,1071.4542243935348,74.24121639458062,0.0,1013.5996177935505,661.4375985920191,629.1935455081135,1036.8660435678205,1042.6491623556199,400.68704727439956,1200.165673237267,568.0887320133986,983.549937078475,1272.5944952938894,1990.7594439203922,682.1240287585199,310.117120086826,1414.3408372594445,553.2434176217306,2110.4107825821293,943.3875424850673,455.95925368317563,1419.8200412599458,213.54382870060707,1267.5827656637523,1531.3811581639718,1851.0538497327461,2016.938383121027,181.87103118297352,126.14513825653836,105.29466980067136,88.29831768373873,330.8702423442919,28.9845,77.7064
Rajkot,417.67536025658336,950.329686875856,1258.9104086158873,971.4915729597383,198.47809906443123,1430.9224259164741,1807.0373875388034,526.339811344164,717.7631709863988,244.56118657624293,1143.5216247040128,1069.8608362497637,866.6858057620691,1395.5517437143037,686.9374198675865,1503.1200488707232,1077.026252921638,906.6812319611009,401.8459036904051,941.6736204921832,1013.5996177935505,0.0,1283.8377805152609,1362.7754493246048,542.985871988978,1609.3210311843718,1109.6888044564785,430.10278235528546,1176.6670858488533,1493.0739296064983,1796.6251189633301,1410.4733775681125,948.1910567638505,865.5622945826998,1216.4792242320864,490.7537246180206,1576.7885946434342,1125.5912168240375,608.3519532338386,2165.8957442777605,1107.2627840101684,741.2432639717782,892.809532306458,1269.1371332407555,1527.0425823800424,1097.3704392249385,960.8158978027052,1078.973656858176,925.5687241417234,1106.2298868718103,22.3039,70.8022
Varanasi,1248.8395861382814,692.9039721452648,1478.6206908913355,993.7600184017326,1086.8662646821106,1383.738600524551,627.175814532981,1205.0055226188915,740.073567104155,1134.5571124548703,264.2898968399221,292.97325482260186,609.5063748580334,845.2982297492782,608.788987261695,219.75537324853485,933.2850315935976,537.1146448836671,1112.138030981698,658.0719010227301,661.4375985920191,1283.8377805152609,0.0,1252.0684693830956,988.8762129139265,388.6161358320388,1057.368233749257,1238.6212498236903,114.2343616460119,322.4352284299147,616.9682436572983,1705.3544346959318,384.71595563528183,490.82741380228083,1005.0523910324623,1002.9448758613963,1779.2518433550192,470.84460769716554,716.12160978674,883.8348671913025,854.8027257344982,1119.8510592392693,1372.4272729671668,1587.7537010434305,1669.829082402954,488.0013375658642,564.2727427052207,570.6919292409525,685.647823131862,984.2004297263067,25.3176,82.9739
Srinagar,1673.7150706669713,635.4299005217828,2355.451225461557,1886.2662061142744,1245.0038498129823,2391.0822425975766,1839.6622429775077,1726.893162887098,800.6673388207099,1444.0219390971513,995.6622617712942,999.4503983879749,1494.5094613963743,2000.946912505517,1226.4082149979906,1371.1054478577867,366.7301601304871,825.1449671952646,1564.0252186684804,673.3671458956229,629.1935455081135,1362.7754493246048,1252.0684693830956,0.0,1575.2088641408975,1605.9021724581075,271.76733142730495,1676.805993443317,1175.521502553379,1570.09990439724,1830.7421883770878,2564.0530180825385,1309.9413196503342,930.7468288164707,2033.3405749997487,886.2039883088454,2696.7870621000293,1572.573646337498,988.6045494485725,1850.9802464646848,415.67541092306794,1822.958087071927,2073.8613092641594,2420.3590404325305,2610.1748891467228,772.1663889169855,754.3239868155749,693.3885918145352,658.6707437703486,314.4225315715776,34.0837,74.7973
Aurangabad,273.5922438634721,993.9379658884286,800.977883839299,431.31592490659057,451.5341818348784,917.3825903144678,1383.7489184076817,216.71320736960251,780.5808334306612,298.61301874433786,960.9789359716865,889.0934678025532,415.1138047082899,864.7870146801525,431.60512662192025,1188.068043808227,1222.426280675259,853.0220521170314,163.18679366253932,966.106525323922,1036.8660435678205,542.985871988978,988.8762129139265,1575.2088641408975,0.0,1225.0632374546733,1303.459540883245,260.2444561423973,908.3931634400495,1100.673522409204,1374.0483000854883,995.4580850559234,604.3277778740107,760.1707317031219,673.7338758630309,743.5760845273603,1140.7702150976133,672.8576863939937,593.5031245921889,1816.2347273450523,1211.3644819529552,252.40200247128655,499.8596022892643,850.2177584973678,1068.044014203353,1027.8884785410455,931.2361840129458,1051.768739977486,965.9243243695606,1268.6720493581581,19.8762,75.3433
Dhanbad,1498.0334776963334,1078.3697858540847,1517.7684311026944,1090.13987649344,1418.5642490491477,1351.984864946305,239.85848152170644,1429.6551249515362,1125.103672825281,1428.7155730110178,647.2829823856722,681.5667515342234,810.4548385626158,754.4440291813115,922.6472937195917,238.3206538074223,1308.1295191806873,925.6682232289968,1371.5863654014395,1044.516434460774,1042.6491623556199,1609.3210311843718,388.6161358320388,1605.9021724581075,1225.0632374546733,0.0,1431.4625435142648,1485.1610960641003,498.4335907134074,124.87250989371253,229.94964354849031,1734.4093743480753,661.6990445405281,874.5108385906423,1007.9595159040838,1379.2471720352944,1770.814702635529,568.5411315320904,1081.9902040280363,595.5004082715257,1225.4754626307003,1288.7865023506306,1508.1008546207322,1640.059191340155,1656.0905452372397,863.9479278586282,951.3935319065687,946.5016696195231,1072.4903447170311,1357.0633252208745,23.7957,86.4304
Amritsar,1405.504669269819,389.38034299035525,2085.3977461150293,1619.953632766797,980.9420629669036,2127.3600271770283,1670.2308678704971,1456.2702384555043,530.8373512094589,1177.0145774215157,793.5577044432432,782.6253392467631,1235.4989661424045,1759.1659807453468,961.2236215655173,1205.6499593024812,124.1151520509743,580.195152544254,1293.7144356947572,428.2931737083114,400.68704727439956,1109.6888044564785,1057.368233749257,271.76733142730495,1303.459540883245,1431.4625435142648,0.0,1408.1372466181956,967.8748062189497,1379.7573254133108,1660.6689403040837,2292.9935845655577,1064.0452719214193,681.4276555668832,1774.6576411234528,624.4849127197624,2426.9491595214067,1332.3984064902745,718.1320393306936,1751.4231126093978,207.40440527045962,1551.4363141026486,1802.1065270898794,2149.1164038294282,2341.4786891136987,569.5991120559756,517.8845870800093,486.78465051410035,408.62998974339354,75.09989217708218,31.634,74.8723
Navi Mumbai,16.692181025962235,1148.388262362192,829.6672721364122,605.3275423084982,444.26861195495036,1016.4509773133312,1642.8441290746116,104.02749493242383,917.1697876525415,237.50984488963812,1185.9023823052303,1111.7125615222,675.3573860940709,1086.922215146482,652.781146001372,1442.4908871902824,1345.145131229111,1035.762724303556,133.28395801386392,1126.4349969678367,1200.165673237267,430.10278235528546,1238.6212498236903,1676.805993443317,260.2444561423973,1485.1610960641003,1408.1372466181956,0.0,1152.0857917332269,1360.838718721085,1633.2149480282126,982.1725896400183,856.1306742166757,955.6096451261445,854.7607019478171,797.9814909656227,1147.1224190146527,931.9077755249059,744.2169403474317,2075.6460394996125,1350.023520875238,339.9127137706496,463.0550187594438,839.8477904248359,1097.1915742943559,1222.0043942851944,1109.0767517761972,1232.8981302548343,1120.4772636574094,1385.6271003044772,19.033,73.0297
Allahabad,1161.4647529643603,593.6626066973022,1450.0262499513415,956.9021767899255,978.9724679774293,1377.4130105385661,734.927652277995,1125.1042812305602,627.3384156495762,1035.7172904616427,180.37383045555256,188.7628013735264,552.5244767154725,869.6789211044443,510.3467064318446,331.31465562195785,843.9314747111517,429.03130545455497,1023.1358369313375,557.427695702048,568.0887320133986,1176.6670858488533,114.2343616460119,1175.521502553379,908.3931634400495,498.4335907134074,967.8748062189497,1152.0857917332269,0.0,420.80874531305835,724.5683927576157,1677.173560240252,313.02017425333116,377.3914423235179,996.4697711365087,888.7373360808248,1761.330921635452,463.94803155146985,602.6871429492783,994.7655666851575,769.6093351248802,1057.8236749456817,1316.6987270579632,1553.9915975630734,1654.545917824734,403.8062236634032,462.93442754602546,484.6839798565372,584.1097062054579,896.1600689941451,25.4358,81.8463
Ranchi,1373.80196846831,1013.1345016728997,1407.8238367602446,970.54187038523,1304.248276038281,1254.2226789221208,324.66494532659516,1304.8401506868856,1038.026286589601,1308.0795756355103,586.6462844943624,609.2252100038937,685.8728593338182,663.1755353995173,807.7616289083248,249.8307065277528,1255.6877503059477,848.9896358774228,1248.0407202076951,977.4790271554325,983.549937078475,1493.0739296064983,322.4352284299147,1570.09990439724,1100.673522409204,124.87250989371253,1379.7573254133108,1360.838718721085,420.80874531305835,0.0,314.04124361522173,1627.0011395294225,544.95247237018,787.7203585985023,900.4521217302719,1282.386768998624,1670.4365816220352,444.3724857141524,980.8024590126305,720.1668414618284,1176.7218931333582,1164.786853501947,1386.595127757466,1528.5894291820262,1556.2901173507664,810.2652192511562,883.1369148934307,893.0178417821995,1004.4897706712483,1306.4782210037392,23.3441,85.3096
Howrah,1647.206985420646,1308.1138453017588,1552.4689024726454,1174.041583298753,1610.9830002112944,1350.6296806012176,10.629387616252572,1567.64855853462,1348.6566303544405,1601.9584578864603,877.0938861310914,909.7912547941253,961.6469143132881,757.1823567665288,1115.22725592287,459.63801124389005,1537.5090339370354,1153.1877807180115,1528.4547545740375,1274.070982177044,1272.5944952938894,1796.6251189633301,616.9682436572983,1830.7421883770878,1374.0483000854883,229.94964354849031,1660.6689403040837,1633.2149480282126,724.5683927576157,314.04124361522173,0.0,1757.3569086032894,851.6499533319832,1097.9307810604034,1045.0824990263648,1596.2271209737116,1770.7758451608224,701.3121582479052,1294.8299412386014,527.7922827012727,1454.357371046816,1402.1028822594362,1597.1535815149755,1678.866737390219,1655.7409356005724,1093.7331997594924,1180.733671526517,1176.2182988139193,1301.945416691516,1586.1438759483083,22.5958,88.2636
